wjsample,wjsample-time
23542451.0,0.496
2742065.0,0.585
133002.0,0.207
5970.0,0.192
2742062.0,0.51
254136655.0,0.579
165152.0,0.209
275598.0,0.171
248408308.0,0.635
257797181.0,0.554
169430.0,0.206
278723.0,0.174
254842930.0,0.507
7790787.0,0.508
166953.0,0.19
34547.0,0.17
145142.0,0.451
7954505.0,0.511
154580.0,0.183
31909.0,0.167
135625.0,0.441
1075686.0,0.654
131399.0,0.196
135261.0,0.163
328064.0,0.183
1044973.0,0.904
1075686.0,0.617
131399.0,0.384
1044974.0,0.725
14611315.0,0.592
168048.0,0.204
79213.0,0.187
14494618.0,0.522
11327689.0,0.611
